# RA-3 physics log
   0,00  === INIT === addrs: kontr=91D5B05 loc_ptr=74AEA0 rev_ptr=74B28C spd_ptr=74B41C
   0,00  === PHYSICS ON ===
   0,00  === WRITE TO LOC36 ENABLED ===
   0,00  === RA3 BOOSTER ON === scale=0,0080 limit=120
   9,27  k=  0 v=   0,00 rev=  0 | rpm= 788,1 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  10,22  k=  0 v=   0,00 rev=  0 | rpm= 800,1 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  10,36  k=  0 v=   0,00 rev=  0 | rpm= 803,3 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  10,47  k=  0 v=   0,00 rev=  0 | rpm= 798,2 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  10,58  k=  0 v=   0,00 rev=  0 | rpm= 799,1 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  11,86  k=  0 v=   0,00 rev=  0 | rpm= 800,6 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  12,00  k=  0 v=   0,00 rev=  0 | rpm= 799,7 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  12,11  k=  0 v=   0,00 rev=  0 | rpm= 799,9 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  12,22  k=  0 v=   0,00 rev=  0 | rpm= 800,1 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  12,33  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  12,44  k=  0 v=   0,00 rev=  0 | rpm= 799,9 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 193649,4 slip=F sand=T
  12,55  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  12,66  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  12,77  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  12,88  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  12,98  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  13,09  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  13,20  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  13,31  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  13,42  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  13,53  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  13,64  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  13,75  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  13,86  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  14,00  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  14,11  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  14,22  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  14,33  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  14,44  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  14,55  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  14,66  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  14,77  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  14,88  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  14,98  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  15,09  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  15,20  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  15,31  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  15,42  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  15,53  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  15,64  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  15,75  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  15,86  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
  16,00  k=  0 v=   0,00 rev=  0 | rpm= 800,0 Mo=      0,0 F=       0,0 | silat before=       0,0 want=       0,0 after=       0,0 | y_gt=0,000 y_gm=0,000 y_gb=0,000 gt_mode=F write=T | F_adh= 138321,0 slip=F sand=F
