# time, kontroller, speed_kph, revers, loc36_raw, loc36_hex
# base=0x00400000
   0.00, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   0.10, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   0.20, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   0.30, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   0.40, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   0.50, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   0.60, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   0.70, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   0.81, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   0.91, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   1.01, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   1.11, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   1.21, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   1.31, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   1.41, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   1.51, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   1.61, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   1.71, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   1.82, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   1.92, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   2.02, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   2.12, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   2.22, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   2.32, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   2.42, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   2.52, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   2.63, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   2.73, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   2.83, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   2.93, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   3.03, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   3.13, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   3.23, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   3.33, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   3.43, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   3.53, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   3.64, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   3.74, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   3.84, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   3.94, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   4.04, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   4.14, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   4.24, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   4.34, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   4.44, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   4.54, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   4.64, k=241, v=28506.45, rev=  3, loc36=  +0.0000, hex=00000000
   4.74, k=241, v=27838.43, rev=  3, loc36=  +0.0000, hex=00000000
   4.84, k=241, v=27201.04, rev=  3, loc36=  +0.0000, hex=00000000
   4.94, k=241, v=26592.23, rev=  3, loc36=  +0.0000, hex=00000000
   5.04, k=241, v=26010.11, rev=  3, loc36=  +0.0000, hex=00000000
   5.15, k=241, v=25452.97, rev=  3, loc36=  +0.0000, hex=00000000
   5.25, k=241, v=24919.22, rev=  3, loc36=  +0.0000, hex=00000000
   5.35, k=241, v=24407.43, rev=  3, loc36=  +0.0000, hex=00000000
   5.45, k=241, v=24037.18, rev=  3, loc36=  +0.0000, hex=00000000
   5.55, k=241, v=23444.48, rev=  3, loc36=  +0.0000, hex=00000000
   5.65, k=241, v=23102.69, rev=  3, loc36=  +0.0000, hex=00000000
   5.75, k=241, v=22554.69, rev=  3, loc36=  +0.0000, hex=00000000
   5.85, k=241, v=22134.67, rev=  3, loc36=  +0.0000, hex=00000000
   5.95, k=241, v=21730.01, rev=  3, loc36=  +0.0000, hex=00000000
   6.05, k=241, v=21339.90, rev=  3, loc36=  +0.0000, hex=00000000
   6.15, k=241, v=20963.55, rev=  3, loc36=  +0.0000, hex=00000000
   6.26, k=241, v=20600.25, rev=  3, loc36=  +0.0000, hex=00000000
   6.36, k=241, v=20249.34, rev=  3, loc36=  +0.0000, hex=00000000
   6.46, k=241, v=20581.59, rev=  3, loc36=  +0.0000, hex=00000000
   6.56, k=241, v=20902.58, rev=  3, loc36=  +0.0000, hex=00000000
   6.66, k=241, v=21212.52, rev=  3, loc36=  +0.0000, hex=00000000
   6.76, k=241, v=21511.64, rev=  3, loc36=  +0.0000, hex=00000000
   6.86, k=241, v=21800.15, rev=  3, loc36=  +0.0000, hex=00000000
   6.96, k=241, v=22078.31, rev=  3, loc36=  +0.0000, hex=00000000
   7.06, k=241, v=22280.28, rev=  3, loc36=  +0.0000, hex=00000000
   7.16, k=241, v=22604.55, rev=  3, loc36=  +0.0000, hex=00000000
   7.26, k=241, v=22853.13, rev=  3, loc36=  +0.0000, hex=00000000
   7.36, k=241, v=23092.36, rev=  3, loc36=  +0.0000, hex=00000000
   7.46, k=241, v=23322.50, rev=  3, loc36=  +0.0000, hex=00000000
   7.56, k=241, v=23543.80, rev=  3, loc36=  +0.0000, hex=00000000
   7.66, k=241, v=23756.54, rev=  3, loc36=  +0.0000, hex=00000000
   7.76, k=241, v=23960.96, rev=  3, loc36=  +0.0000, hex=00000000
   7.86, k=241, v=24157.32, rev=  3, loc36=  +0.0000, hex=00000000
   7.96, k=241, v=24299.45, rev=  3, loc36=  +0.0000, hex=00000000
   8.06, k=241, v=24526.88, rev=  3, loc36=  +0.0000, hex=00000000
   8.17, k=241, v=24700.59, rev=  3, loc36=  +0.0000, hex=00000000
   8.27, k=241, v=24867.23, rev=  3, loc36=  +0.0000, hex=00000000
   8.37, k=241, v=25027.07, rev=  3, loc36=  +0.0000, hex=00000000
   8.47, k=241, v=25142.61, rev=  3, loc36=  +0.0000, hex=00000000
   8.57, k=241, v=25327.23, rev=  3, loc36=  +0.0000, hex=00000000
   8.67, k=241, v=25468.03, rev=  3, loc36=  +0.0000, hex=00000000
   8.77, k=241, v=25602.92, rev=  3, loc36=  +0.0000, hex=00000000
   8.87, k=241, v=25732.14, rev=  3, loc36=  +0.0000, hex=00000000
   8.98, k=241, v=25855.89, rev=  3, loc36=  +0.0000, hex=00000000
   9.08, k=241, v=25974.39, rev=  3, loc36=  +0.0000, hex=00000000
   9.18, k=241, v=26087.82, rev=  3, loc36=  +0.0000, hex=00000000
   9.28, k=241, v=26196.39, rev=  3, loc36=  +0.0000, hex=00000000
   9.38, k=241, v=26300.29, rev=  3, loc36=  +0.0000, hex=00000000
   9.48, k=241, v=26399.69, rev=  3, loc36=  +0.0000, hex=00000000
   9.58, k=241, v=26494.78, rev=  3, loc36=  +0.0000, hex=00000000
   9.68, k=241, v=26607.84, rev=  3, loc36=  +0.0000, hex=00000000
   9.78, k=241, v=26672.71, rev=  3, loc36=  +0.0000, hex=00000000
   9.88, k=241, v=26755.88, rev=  3, loc36=  +0.0000, hex=00000000
   9.98, k=241, v=26815.84, rev=  3, loc36=  +0.0000, hex=00000000
  10.08, k=241, v=26911.39, rev=  3, loc36=  +0.0000, hex=00000000
